id,name,type,price,net_price,popularity,description
1,"Bacon Cheeseburger","Burgers",8.29,NULL,8,"Bacon Cheeseburger"
2,"Classic Hamburger","Burgers",6.89,NULL,8,"Classic Hamburger"
3,"Double Stack Burger","Burgers",9.99,NULL,8,"Double Stack Burger"
4,"Gig Em Patty Melt","Burgers",7.59,NULL,8,"Gig Em Patty Melt"
5,"Cheeseburger","Burgers",6.89,NULL,7,"Cheeseburger"
6,"Black Bean Burger","Burgers",8.38,NULL,6,"Black Bean Burger"
7,"Build you own","Burgers",5.49,NULL,10,"Build you own"
8,"Revs Grilled Chicken Sandwich","Sandwiches",8.39,NULL,7,"Revs Grilled Chicken Sandwich"
9,"Spicy Chicken Sandwich","Sandwiches",8.39,NULL,9,"Spicy Chicken Sandwich"
10,"Aggie Chicken Club","Sandwiches",8.39,NULL,8,"Aggie Chicken Club"
11,"2 Corn Dog Value Meal","Value Meals",4.99,NULL,6,"2 Corn Dog Value Meal"
12,"2 Hot Dog Value Meal","Value Meals",4.99,NULL,7,"2 Hot Dog Value Meal"
13,"3 Tender Entree","Value Meals",4.99,NULL,8,"3 Tender Entree"
14,"3 Chicken Tender Combo","Baskets",7.99,NULL,9,"3 Chicken Tender Combo"
15,"French Fries","Sides",1.99,NULL,10,"French Fries"
16,"Aggie Shakes","Shakes & More",4.49,NULL,7,"Aggie Shakes"
17,"Cookie Ice Cream Sundae","Shakes & More",4.69,NULL,6,"Cookie Ice Cream Sundae"
18,"Double Scoop Ice Cream","Shakes & More",3.29,NULL,6,"Double Scoop Ice Cream"
19,"Root Beer Float","Shakes & More",5.49,NULL,4,"Root Beer Float"
20,"Aquafina Water 16 OZ","Beverages",1.79,NULL,8,"Aquafina Water 16 OZ"
21,"Aquafina Water 20 OZ","Beverages",2.19,NULL,8,"Aquafina Water 20 OZ"
22,"20 OZ Fountain Drink","Beverages",1.99,NULL,9,"20 OZ Fountain Drink"
23,"Chicken Wraps","Limited Time Offers",6.00,NULL,7,"Chicken Wraps"
24,"Fish Sandwich","Limited Time Offers",7.99,NULL,5,"Fish Sandwich"
25,"Tuna Melt","Limited Time Offers",7.99,NULL,3,"Tuna Melt"
